timestamp,wearabletimestamp,b1d,b2d,b3d,b4d,xa,ya,za
13:30:43.392,203018,11.38,11.33,12.07,12.29,3.10,9.81,3.18
13:30:43.493,203120,11.40,11.31,11.97,11.98,7.81,11.26,3.06
13:30:43.594,203221,11.41,11.31,11.97,11.98,5.14,13.81,4.75
13:30:43.697,203323,11.41,11.32,11.91,11.75,-3.69,12.91,4.35
13:30:43.799,203425,11.26,11.37,11.97,11.89,-1.29,9.89,4.43
13:30:43.901,203528,11.26,11.37,11.97,11.89,-1.84,9.57,3.06
13:30:44.003,203629,11.26,11.43,12.07,11.92,-4.82,8.04,2.98
13:30:44.105,203732,11.29,11.50,12.07,11.92,0.39,9.30,4.75
13:30:44.208,203834,11.29,11.50,12.06,11.91,3.77,8.59,2.55
13:30:44.309,203936,11.46,11.64,12.03,11.79,5.49,7.57,0.08
13:30:44.412,204039,11.46,11.64,12.03,11.79,3.88,7.61,-0.20
13:30:44.514,204141,11.60,11.68,11.84,11.66,6.94,8.67,-0.04
13:30:44.615,204242,11.62,11.63,11.77,11.66,5.96,8.67,-0.78
13:30:44.718,204344,11.62,11.63,11.77,11.66,5.06,8.98,-1.37
13:30:44.819,204446,11.67,11.65,11.77,11.60,4.16,10.00,-0.24
13:30:44.922,204548,11.67,11.65,11.77,11.60,4.51,8.67,-2.43
13:30:45.024,204650,11.67,11.66,11.78,11.56,1.29,8.94,-1.80
13:30:45.126,204753,11.70,11.67,11.73,11.55,2.12,7.85,-3.77
13:30:45.229,204855,11.70,11.67,11.73,11.55,2.28,8.39,-2.16
13:30:45.330,204957,11.64,11.61,11.72,11.53,3.88,8.04,-2.51
13:30:45.434,205060,11.74,11.64,11.76,11.53,2.67,9.85,0.00
13:30:45.535,205162,11.74,11.64,11.76,11.55,3.49,9.96,-0.75
13:30:45.638,205264,11.72,11.63,11.74,11.70,3.33,9.61,-0.90
13:30:45.740,205367,11.75,11.63,11.74,11.70,4.47,9.30,-0.94
13:30:45.842,205469,11.75,11.63,11.72,11.98,3.96,10.04,1.14
13:30:45.945,205571,11.74,11.63,11.74,11.69,3.30,10.16,0.86
13:30:46.047,205674,11.74,11.63,11.74,11.69,3.61,9.18,-0.55
13:30:46.149,205776,11.80,11.60,11.75,11.69,3.92,9.77,0.27
13:30:46.250,205877,11.78,11.64,11.75,11.69,3.80,9.53,0.59
13:30:46.352,205978,11.78,11.64,11.73,11.65,4.04,9.65,0.51
13:30:46.454,206081,11.78,11.66,11.71,11.63,4.82,9.34,0.27
13:30:46.557,206183,11.78,11.66,11.71,11.63,4.90,9.61,0.78
13:30:46.658,206285,11.77,11.63,11.70,11.67,4.43,9.69,0.98
13:30:46.760,206387,11.77,11.63,11.70,11.67,4.51,9.34,0.16
13:30:46.862,206488,11.77,11.63,11.70,11.67,4.51,9.96,0.24
13:30:46.964,206591,11.76,11.59,11.68,11.76,4.98,9.26,0.08
13:30:47.066,206693,11.77,11.59,11.68,11.76,4.90,9.57,1.06
13:30:47.169,206795,11.77,11.64,11.70,11.86,4.55,9.73,0.27
13:30:47.271,206898,11.75,11.48,11.80,11.90,4.04,9.26,-0.08
13:30:47.374,207000,11.75,11.48,11.80,11.90,4.04,9.81,-0.20
13:30:47.475,207102,11.75,11.54,11.77,11.81,4.98,9.38,1.29
13:30:47.578,207205,11.76,11.58,11.77,11.81,4.51,9.53,0.31
13:30:47.680,207307,11.76,11.58,11.71,11.78,4.63,9.92,2.04
13:30:47.782,207409,11.79,11.63,11.72,11.67,4.75,9.26,1.10
