realtimestamp,wearable_timestamp,d1,d2,d3,d4,ax,ay,az
11:19:50.755,152739,900,1155,3360,4440,-717,105,251
11:19:51.655,153624,900,1125,4290,4305,-717,105,251
11:19:52.556,154537,900,1170,4155,4290,-717,105,251
11:19:53.455,155425,900,1155,4140,4305,-717,105,251
11:19:54.355,156304,900,1155,4140,4290,-717,105,251
11:19:55.255,157237,900,1140,4170,4275,-717,105,251
11:19:56.104,158095,900,1125,4200,4275,-717,105,251
11:19:57.005,158974,900,1155,4050,4200,-717,105,251
11:19:57.855,159833,945,1185,4020,4095,-921,3,-105
11:19:58.705,160700,945,1185,3960,3975,-921,3,-105
11:19:59.555,161546,960,1200,3855,3930,-859,23,27
11:20:00.355,162333,990,1215,3870,3870,-878,31,203
11:20:02.705,164677,990,1275,1275,3720,-878,31,203
11:20:03.704,165688,990,1335,3585,3720,-878,31,203
11:20:04.605,166567,990,1380,3525,3645,-878,31,203
11:20:05.455,167443,990,1425,3495,3510,-878,31,203
11:20:06.305,168299,990,1455,3390,3510,-878,31,203
11:20:07.204,169177,990,1455,3345,3390,-878,31,203
11:20:08.104,170092,990,1560,3270,3315,-878,31,203
11:20:08.955,170950,990,1710,3240,3225,-878,31,203
11:20:09.754,171734,1335,1710,3195,3270,-1031,-23,168
11:20:10.655,172635,1335,1710,3135,3165,-1031,-23,168
11:20:11.505,173484,1335,1755,3045,3135,-1031,-23,168
11:20:12.454,174416,1335,1680,3015,3060,-1031,-23,168
11:20:13.304,175282,1335,1995,2970,2970,-1031,-23,168
11:20:14.154,176133,1335,1965,2940,2880,-1031,-23,168
11:20:15.104,177057,1335,2220,2820,2835,-1031,-23,168
11:20:16.404,178361,1680,2250,360,2805,-1047,-109,23
11:20:17.204,179194,1770,2100,2640,2745,-902,-19,-129
11:20:18.104,180090,1770,2340,2610,2655,-902,-19,-129
11:20:18.954,180948,1770,2175,2565,2580,-902,-19,-129
11:20:19.804,181783,2130,2400,2505,2550,-1243,0,78
11:20:20.654,182631,2130,2340,2460,2460,-1243,0,78
11:20:21.505,183489,2130,2400,2355,2370,-1243,0,78
11:20:22.955,184926,2130,2385,2385,2295,-1243,0,78
11:20:23.755,185738,2580,2565,2265,2280,-921,3,156
11:20:25.154,187117,2580,2580,2205,825,-921,3,156
11:20:26.004,187991,2580,2835,2115,2145,-921,3,156
11:20:26.854,188850,2580,2595,2025,2085,-921,3,156
11:20:27.805,189801,2580,2850,1980,2025,-921,3,156
11:20:28.655,190635,3360,2925,1920,1980,-1082,113,101
11:20:29.554,191503,3360,3300,1875,1920,-1082,113,101
11:20:30.454,192428,3225,2940,1845,1875,-945,160,129
11:20:31.355,193304,3225,3090,1815,1860,-945,160,129
11:20:32.254,194219,3225,3240,1770,1800,-945,160,129
11:20:33.104,195067,3225,3255,1710,1740,-945,160,129
11:20:34.004,195954,3225,1740,1650,1695,-945,160,129
11:20:35.404,197362,3225,3345,11715,1590,-945,160,129
