timestamp,b1d,b2d,b3d,b4d
22:27:09.00,15.03,19.95,23.5,19.49
22:27:12.00,17.41,17.41,21.38,21.38
22:27:15.00,19.95,15.03,19.49,23.5
22:27:19.00,21.59,17.14,17.14,21.59
22:27:22.00,23.5,19.49,15.03,19.95
22:27:25.00,21.38,21.38,17.41,17.41
22:27:28.00,19.49,23.5,19.95,15.03
22:27:31.00,17.14,21.59,21.59,17.14
22:27:34.00,15.03,19.95,23.5,19.49
22:27:38.00,19.26,19.26,19.26,19.26
22:27:43.00,19.95,15.03,19.49,23.5
22:27:45.00,21.59,17.14,17.14,21.59
22:27:48.00,23.5,19.49,15.03,19.95
22:27:52.00,19.26,19.26,19.26,19.26
22:27:56.00,19.49,23.5,19.95,15.03
22:28:00.00,17.14,21.59,21.59,17.14
22:28:03.00,19.26,19.26,19.26,19.26
22:28:05.00,21.59,17.14,17.14,21.59
22:28:09.00,19.95,15.03,19.49,23.5
22:28:13.00,19.26,19.26,19.26,19.26
22:28:17.00,15.03,19.95,23.5,19.49
