timestamp,b1d,b2d,b3d,b4d
22:02:01,15.03,19.95,23.5,19.49
22:02:30,15.03,19.95,23.5,19.49
22:02:51,15.03,19.95,23.5,19.49
22:02:55,17.41,17.41,21.38,21.38
22:02:58,19.95,15.03,19.49,23.5
22:03:00,21.59,17.14,17.14,21.59
22:03:03,23.5,19.49,15.03,19.95
22:03:06,21.38,21.38,17.41,17.41
22:03:09,19.49,23.5,19.95,15.03
22:03:11,17.14,21.59,21.59,17.14
22:03:14,15.03,19.95,23.5,19.49
22:03:19,19.26,19.26,19.26,19.26
22:03:22,19.49,23.5,19.95,15.03
22:03:25,21.38,21.38,17.41,17.41
22:03:28,23.5,19.49,15.03,19.95
22:03:32,19.26,19.26,19.26,19.26
22:03:36,15.03,19.95,23.5,19.49
22:03:51,15.03,19.95,23.5,19.49
22:04:03,15.03,19.95,23.5,19.49
