timestamp,b1d,b2d,b3d,b4d
21:56:06,15.03,19.95,23.5,19.49
21:56:39,15.03,19.95,23.5,19.49
21:56:45,17.41,17.41,21.38,21.38
21:56:50,19.95,15.03,19.49,23.5
21:56:54,21.59,17.14,17.14,21.59
21:56:58,23.5,19.49,15.03,19.95
21:57:04,21.38,21.38,17.41,17.41
21:57:08,19.49,23.5,19.95,15.03
21:57:12,17.14,21.59,21.59,17.14
21:57:15,15.03,19.95,23.5,19.49
21:57:21,19.26,19.26,19.26,19.26
21:57:26,23.5,19.49,15.03,19.95
21:57:30,21.59,17.14,17.14,21.59
21:57:36,17.41,17.41,21.38,21.38
21:57:41,17.14,21.59,21.59,17.14
21:57:45,19.49,23.5,19.95,15.03
21:57:50,19.26,19.26,19.26,19.26
21:57:55,15.03,19.95,23.5,19.49
21:58:20,15.03,19.95,23.5,19.49
