timestamp,wearabletimestamp,b1d,b2d,b3d,b4d,xa,ya,za
16:35:03.838, 1257735,21.15,22.65,27.6,27.6,11.88,3.49,-1.68
16:35:03.838, 1258851,22.2,21.6,26.1,32.1,11.76,2.43,-1.41
16:35:03.838, 1261054,25.35,25.05,24.15,25.35,10.98,0.19,0.43
16:35:03.838, 1261653,42.75,32.85,25.65,24.0,10.12,0.9,3.25
16:35:03.838, 1262305,30.15,24.45,23.85,24.15,10.0,0.47,2.15
16:35:03.838, 1262899,29.85,24.6,23.85,24.45,10.43,0.03,2.62
16:35:04.166, 1264002,29.55,24.6,23.7,55.95,10.7,0.15,1.84
16:35:04.782, 1264619,34.8,24.45,23.85,23.85,11.29,0.47,1.96
16:35:05.294, 1265131,30.3,26.1,23.7,24.6,10.66,0.58,2.0
16:35:05.883, 1265720,28.35,26.25,23.85,24.75,10.55,0.5,1.92
16:35:07.041, 1266878,27.75,24.45,23.85,24.45,10.66,0.47,1.68
16:35:07.691, 1267528,27.3,24.45,23.85,23.85,10.35,0.5,2.15
16:35:08.290, 1268126,27.3,27.0,23.85,25.05,10.63,0.35,1.96
16:35:09.337, 1269174,26.7,27.75,23.85,48.15,10.31,0.15,2.03
16:35:10.463, 1270300,26.4,28.95,24.3,25.65,10.47,0.27,2.39
16:35:11.008, 1270845,25.8,28.35,24.15,25.95,10.78,0.5,1.92
16:35:11.589, 1271426,27.0,27.15,24.15,25.95,10.63,0.58,1.88
16:35:12.200, 1272037,28.95,26.85,24.15,25.8,10.94,0.35,1.33
16:35:12.791, 1272628,27.9,25.2,24.15,25.35,10.31,0.58,1.8
16:35:13.375, 1273212,28.65,25.35,24.15,25.35,10.12,0.58,1.8
16:35:14.465, 1274302,28.05,25.2,24.15,25.65,10.55,0.78,1.49
16:35:14.975, 1274812,27.45,25.5,24.15,26.1,11.02,0.66,1.13
16:35:16.077, 1275914,27.6,25.8,24.15,49.65,10.08,0.31,2.51
16:35:17.147, 1276984,27.15,21.45,24.15,27.0,10.55,0.74,1.64
16:35:17.724, 1277561,27.9,27.3,24.3,26.85,11.02,0.98,0.98
16:35:18.334, 1278171,28.95,26.4,24.3,24.3,10.82,0.82,1.45
16:35:18.890, 1278727,28.95,25.95,24.3,30.0,10.74,0.7,1.09
16:35:19.532, 1279369,29.7,26.1,24.3,29.85,10.78,0.7,1.37
16:35:20.116, 1279953,29.1,26.1,26.1,32.1,10.9,0.7,1.17
16:35:20.706, 1280543,28.8,25.65,24.45,29.7,10.7,0.43,1.09
16:35:21.282, 1281119,29.1,26.85,24.15,31.35,10.55,0.74,1.84
16:35:21.872, 1281710,29.1,28.05,24.45,31.65,10.66,0.94,1.45
16:35:22.477, 1282314,28.8,27.3,24.15,33.15,10.7,0.82,1.21
16:35:23.580, 1283417,29.1,27.0,24.45,37.8,10.82,0.94,1.29
16:35:24.145, 1283982,28.2,29.4,24.15,27.45,10.63,0.94,1.09
16:35:25.261, 1285098,28.95,30.75,24.15,45.45,10.74,0.86,1.29
16:35:26.284, 1286121,28.65,25.65,25.65,28.5,10.82,0.82,1.49
16:35:27.341, 1287178,28.05,28.2,24.3,43.8,10.82,0.74,1.17
16:35:28.493, 1288331,28.05,27.75,24.45,51.6,10.74,0.74,1.37
16:35:29.587, 1289425,28.65,25.35,24.45,28.2,10.7,0.94,1.13
16:35:30.136, 1289973,28.05,26.85,24.6,28.2,10.82,0.82,1.21
16:35:30.723, 1290560,28.05,26.7,24.45,28.35,10.82,0.58,0.5
16:35:31.296, 1291133,27.3,26.55,24.45,27.9,10.78,0.54,0.78
16:35:32.413, 1292251,26.85,26.4,24.45,53.85,10.86,0.66,1.17
16:35:33.038, 1292875,27.15,27.15,24.6,28.5,10.78,0.62,0.9
16:35:33.610, 1293447,26.55,26.1,24.45,28.65,10.74,0.58,0.98
16:35:34.709, 1294547,26.55,25.95,24.45,44.25,10.78,0.58,1.13
16:35:35.240, 1295077,27.75,27.3,24.3,48.6,10.82,0.62,0.94
16:35:35.880, 1295718,28.65,26.7,24.3,55.8,10.9,0.54,1.17
16:35:36.455, 1296292,29.1,25.8,24.45,47.85,10.82,0.43,1.37
16:35:37.529, 1297366,28.5,25.05,24.45,44.55,10.86,0.5,1.13
16:35:38.697, 1298535,27.9,25.65,43.35,34.95,10.86,0.43,1.17
16:35:39.721, 1299559,27.9,26.1,24.45,50.4,10.82,0.31,1.33
16:35:40.744, 1300582,27.3,26.1,24.3,46.5,10.82,0.35,1.21
16:35:41.394, 1301232,27.75,25.65,25.65,31.95,10.82,0.35,1.37
16:35:41.946, 1301783,27.15,25.35,24.45,27.3,10.74,0.07,1.72
16:35:42.588, 1302425,27.0,25.05,24.45,27.75,10.86,0.19,1.37
16:35:43.647, 1303485,27.0,25.8,24.15,28.05,10.7,0.07,1.76
16:35:44.188, 1304026,27.0,25.05,24.45,28.5,10.74,0.15,1.88
16:35:44.827, 1304665,26.55,25.5,24.3,28.65,10.7,0.07,1.72
16:35:45.407, 1305244,26.7,25.35,24.15,28.65,10.74,0.07,1.29
16:35:46.011, 1305849,26.4,25.35,24.3,28.05,10.7,0.19,1.37
16:35:46.586, 1306424,26.4,25.05,24.45,28.05,11.33,0.47,1.29
16:35:47.616, 1307454,24.15,25.2,36.0,26.7,10.82,0.07,0.94
16:35:48.237, 1308074,23.85,25.95,24.15,26.85,11.1,0.15,1.41
16:35:48.786, 1308624,23.85,25.5,24.15,26.85,10.74,0.03,1.25
16:35:49.334, 1309172,23.4,24.75,24.15,28.05,10.82,0.35,0.98
16:35:50.933, 1310771,23.1,24.45,24.0,27.15,10.86,0.11,1.49
16:35:51.986, 1311824,23.1,25.2,24.15,48.45,10.86,0.47,1.6
16:35:52.599, 1312437,23.85,25.5,24.15,48.45,10.98,0.43,1.49
16:35:53.168, 1313006,24.15,25.5,24.45,29.25,11.06,0.11,1.01
16:35:53.753, 1313591,23.85,25.2,24.15,28.2,10.55,0.03,0.78
16:35:54.342, 1314179,23.25,24.75,24.15,26.7,10.43,0.19,1.84
16:35:54.905, 1314742,23.4,25.05,24.3,27.15,10.74,0.43,2.23
