timestamp,wearabletimestamp,b1d,b2d,b3d,b4d,xa,ya,za
16:36:18.030, 1332066,117.9,24.15,23.55,24.75,10.7,1.01,1.88
16:36:18.030, 1333349,70.8,23.7,23.4,24.6,10.51,0.82,1.96
16:36:18.030, 1333964,77.55,24.3,23.55,24.6,10.55,0.98,1.68
16:36:18.030, 1335066,81.6,24.3,23.85,37.8,10.59,1.01,1.45
16:36:18.030, 1336121,53.55,21.15,23.85,24.75,11.06,1.05,1.76
16:36:18.030, 1336715,59.85,24.15,23.85,24.15,10.9,1.13,1.64
16:36:18.410, 1338249,24.15,24.0,63.9,24.15,10.94,1.05,1.45
16:36:19.543, 1339382,90.45,23.7,23.85,24.0,10.55,0.7,1.88
16:36:20.686, 1340524,77.1,23.55,23.85,34.65,10.47,0.74,2.23
16:36:21.282, 1341120,71.55,23.85,24.0,24.0,10.51,0.54,2.15
16:36:21.904, 1341743,70.65,24.0,23.85,24.3,10.82,0.74,1.92
16:36:23.417, 1343255,80.1,23.85,24.15,31.95,10.43,0.39,1.64
16:36:24.442, 1344281,51.15,24.75,25.05,24.15,11.21,0.9,0.66
16:36:25.087, 1344926,51.15,25.35,25.05,24.45,10.59,3.41,0.62
16:36:25.619, 1345458,60.6,25.2,25.05,24.15,12.94,2.78,-0.07
16:36:26.728, 1346566,53.7,26.1,24.75,24.6,10.55,1.84,0.23
16:36:27.848, 1347687,30.45,28.8,25.95,41.4,8.39,1.96,-0.7
16:36:28.378, 1348217,33.6,23.85,21.9,25.05,8.39,1.52,0.15
16:36:29.007, 1348846,34.95,23.1,21.45,28.2,9.13,1.09,0.9
16:36:29.595, 1349434,41.7,22.8,21.6,29.1,10.94,2.54,-2.0
16:36:30.134, 1349973,44.85,22.8,22.8,40.65,14.86,2.74,-0.15
16:36:30.747, 1350586,29.85,21.6,24.15,62.1,14.31,2.51,-2.54
16:36:31.361, 1351200,31.05,22.05,27.3,35.4,13.96,2.82,0.82
16:36:31.975, 1351814,31.05,20.25,26.25,35.4,8.15,2.35,2.66
16:36:32.592, 1352431,30.75,20.55,27.15,80.85,10.9,1.6,-2.31
16:36:34.712, 1354551,30.6,19.05,19.05,40.5,8.86,1.92,-0.39
16:36:35.312, 1355151,26.4,16.35,19.05,33.75,9.45,1.84,-0.23
16:36:35.837, 1355676,25.5,16.65,16.65,48.15,9.57,1.92,0.35
16:36:36.378, 1356217,25.8,16.65,16.65,32.7,9.53,2.27,0.19
16:36:36.979, 1356818,22.05,16.65,16.65,32.7,9.49,1.72,-0.9
16:36:37.604, 1357443,22.05,16.65,16.65,32.7,14.98,3.17,0.9
16:36:38.228, 1358067,22.05,16.65,16.65,32.7,10.47,2.62,0.86
16:36:38.852, 1358691,22.05,16.65,16.65,32.7,10.55,1.92,-2.0
16:36:39.509, 1359348,22.05,16.65,102.0,29.4,8.23,1.72,-0.15
16:36:40.142, 1359981,18.3,19.95,65.25,30.3,12.9,3.25,-3.09
16:36:40.803, 1360642,18.0,20.4,63.45,30.3,16.08,2.82,-0.82
16:36:41.391, 1361230,17.55,21.75,63.45,28.65,9.45,4.78,2.11
16:36:42.031, 1361870,17.25,22.65,34.8,32.4,9.68,2.58,-4.55
