timestamp,wearabletimestamp,b1d,b2d,b3d,b4d,xa,ya,za
16:30:39.355, 6449,10.35,13.95,47.55,45.75,10.04,-4.62,-4.11
16:30:39.355, 997520,9.6,13.95,68.7,34.05,5.57,1.09,-8.23
16:30:39.356, 998157,8.85,14.25,46.35,109.5,2.47,3.25,-10.55
16:30:39.356, 998751,9.45,14.1,45.9,54.9,3.84,4.0,-9.1
16:30:39.479, 999311,9.6,14.85,45.9,56.25,3.88,4.11,-9.57
16:30:40.047, 999879,9.45,15.3,44.1,52.65,3.68,4.51,-9.53
16:30:41.041, 1000873,9.45,87.0,44.1,55.8,3.33,4.39,-9.53
16:30:41.620, 1001452,9.6,16.2,44.4,66.15,3.13,4.78,-9.72
16:30:42.642, 1002474,9.75,32.7,43.8,45.75,2.94,4.62,-9.88
16:30:43.265, 1003097,9.6,14.7,44.25,51.9,2.94,4.51,-9.64
16:30:44.788, 1004620,9.6,18.9,29.4,60.15,2.62,4.7,-9.57
16:30:45.840, 1005672,9.45,14.85,29.4,67.2,2.51,4.55,-9.68
16:30:47.417, 1007249,9.45,14.25,16.8,45.75,5.84,4.66,-12.0
16:30:48.517, 1008349,9.6,14.4,47.7,46.05,10.27,-2.94,-4.07
16:30:49.139, 1008972,11.7,14.4,48.6,45.45,9.06,-3.13,-5.06
16:30:50.241, 1010073,9.6,13.95,49.2,48.6,9.84,-2.74,-5.21
16:30:50.822, 1010654,10.5,13.65,51.75,51.9,7.49,-2.51,-5.6
16:30:53.395, 1013228,10.2,13.65,13.65,34.5,9.61,-0.03,-6.08
16:30:54.461, 1014293,22.2,13.8,47.85,45.6,7.68,-0.58,-0.74
16:30:55.033, 1014865,10.05,13.95,48.0,48.15,10.59,-1.21,-3.05
16:30:55.710, 1015543,10.5,14.1,51.15,49.8,9.96,-0.9,-6.11
16:30:56.791, 1016623,19.95,13.65,54.45,51.45,11.68,-0.66,-3.25
16:30:57.419, 1017252,10.5,13.65,44.7,44.7,10.63,0.03,-4.31
16:30:58.011, 1017843,11.55,13.8,13.8,47.4,9.25,1.56,-5.8
16:30:58.595, 1018427,10.65,13.2,50.25,47.4,8.74,3.02,-3.76
16:30:59.626, 1019458,11.7,13.65,50.25,36.9,8.35,3.92,-4.47
16:31:00.119, 1019952,10.8,13.65,65.4,48.9,10.82,5.21,-2.74
16:31:00.603, 1020436,10.8,13.8,47.7,46.2,10.39,6.86,0.15
16:31:01.284, 1021116,10.65,13.2,46.65,47.7,10.55,2.54,-4.47
16:31:01.917, 1021750,9.6,13.8,46.95,47.7,13.1,-0.86,-2.19
16:31:02.500, 1022333,10.2,13.2,13.2,47.7,12.04,1.21,-2.82
16:31:03.057, 1022890,12.0,12.45,50.25,45.3,10.0,2.7,-1.17
16:31:03.619, 1023451,11.1,12.3,46.2,45.3,11.06,0.98,-3.45
16:31:04.256, 1024089,11.4,12.0,46.2,43.35,7.45,-1.49,1.37
16:31:04.804, 1024637,11.1,11.1,43.05,52.5,10.04,0.62,-1.8
16:31:05.854, 1025687,12.9,11.7,45.6,47.25,17.88,3.49,-10.31
16:31:06.523, 1026355,12.45,11.7,44.85,48.9,9.84,-0.35,-0.82
16:31:07.096, 1026928,12.15,12.0,43.5,50.1,10.55,-0.43,-0.03
16:31:07.628, 1027461,12.0,11.85,43.35,50.1,10.47,0.0,-0.54
16:31:08.245, 1028078,12.3,11.85,11.85,46.2,11.41,0.54,1.33
16:31:09.317, 1029150,12.15,12.0,42.75,52.95,10.35,1.05,0.35
16:31:10.970, 1030803,12.3,12.0,41.85,93.0,9.45,-1.01,2.35
16:31:11.620, 1031453,13.35,12.0,40.5,61.2,10.98,-0.62,1.8
16:31:12.726, 1032559,12.75,12.45,41.1,90.9,11.02,0.03,3.02
16:31:14.897, 1034730,87.9,12.6,43.35,41.25,9.45,-1.41,3.13
16:31:16.024, 1035857,17.1,12.45,37.8,76.5,10.31,0.31,1.52
16:31:16.636, 1036469,14.4,13.35,37.8,51.75,11.02,-1.64,1.88
16:31:17.777, 1037610,14.4,13.5,36.15,43.65,10.66,-0.35,1.49
16:31:19.400, 1039233,43.65,14.1,35.55,39.75,10.43,-1.21,1.29
16:31:20.035, 1039868,17.1,15.75,34.8,44.85,10.55,0.62,0.78
16:31:20.601, 1040434,16.35,15.15,34.8,15.15,10.78,-1.64,1.52
16:31:21.212, 1041045,17.25,14.85,34.2,40.35,10.66,-1.05,1.96
16:31:21.758, 1041591,16.35,16.2,33.15,51.6,10.39,0.07,1.49
16:31:22.332, 1042165,16.5,18.15,32.85,40.05,10.35,-0.7,1.56
16:31:22.924, 1042757,17.7,16.65,32.85,39.9,11.33,-0.5,0.31
16:31:23.480, 1043313,17.4,17.25,32.7,32.7,10.82,-0.07,0.07
16:31:24.062, 1043895,17.85,17.4,31.65,41.4,11.29,-0.62,1.68
16:31:24.745, 1044578,16.8,17.7,17.7,37.2,11.57,-0.58,2.23
16:31:25.840, 1045673,61.05,17.55,31.05,34.05,10.35,-1.33,0.03
16:31:27.011, 1046844,18.6,17.1,31.35,36.75,11.68,0.03,1.13
16:31:27.600, 1047433,18.75,18.15,30.0,36.75,11.14,-0.39,-0.11
16:31:29.209, 1049042,70.05,10.95,29.55,39.15,10.98,-0.27,0.86
16:31:29.919, 1049752,19.65,19.5,28.95,52.65,10.59,1.68,0.11
16:31:30.512, 1050345,20.4,19.8,27.75,32.1,9.61,-0.78,0.15
16:31:31.164, 1050998,20.1,20.1,28.5,35.55,10.51,-0.74,0.7
16:31:31.833, 1051666,21.45,20.4,27.15,29.7,10.51,-0.86,1.49
16:31:32.421, 1052254,21.6,21.3,27.15,38.7,12.43,-0.9,1.13
16:31:33.039, 1052872,21.9,23.1,27.45,29.25,10.78,0.27,1.41
16:31:33.622, 1053455,22.2,22.5,22.5,31.95,10.0,-0.82,1.49
16:31:35.238, 1055072,22.35,21.75,25.65,92.55,9.96,0.5,0.54
16:31:35.852, 1055685,23.85,21.75,24.9,92.55,11.8,0.35,-0.07
16:31:36.435, 1056269,23.7,22.65,24.45,25.8,9.68,-1.49,1.17
16:31:37.098, 1056931,23.85,23.7,24.15,27.45,9.96,0.98,1.52
16:31:37.649, 1057483,25.35,25.05,23.85,26.55,10.86,-0.82,0.43
16:31:38.229, 1058063,24.9,25.35,23.55,28.5,11.17,-0.74,0.82
16:31:38.904, 1058737,24.9,24.75,23.55,36.0,10.55,0.23,1.6
16:31:39.613, 1059446,24.9,25.65,23.55,27.75,9.96,-0.98,1.37
16:31:40.319, 1060152,25.95,25.8,22.05,28.5,10.04,0.07,0.62
16:31:41.028, 1060861,25.95,26.4,22.35,25.2,10.19,-2.51,1.25
16:31:41.770, 1061604,26.85,26.1,22.35,30.9,11.06,0.58,1.52
16:31:42.443, 1062276,27.0,27.15,27.15,30.9,11.02,-1.09,-0.03
16:31:43.120, 1062954,28.05,26.55,20.25,24.9,9.41,2.62,-0.07
16:31:43.686, 1063519,26.4,27.75,27.75,23.85,11.61,-2.39,2.23
16:31:44.337, 1064170,28.5,27.9,27.75,24.9,10.9,-1.21,1.01
16:31:44.922, 1064755,27.9,28.35,20.1,22.2,10.39,0.58,1.13
16:31:46.028, 1065861,29.1,29.85,19.35,48.0,10.63,-0.58,0.27
16:31:46.687, 1066521,29.1,28.65,18.6,48.0,12.43,-2.39,4.55
16:31:47.308, 1067141,30.6,29.7,18.3,19.95,9.49,-1.72,1.84
16:31:47.954, 1067787,31.5,30.15,18.3,20.85,10.94,0.39,-0.31
