timestamp,b1d,b2d,b3d,b4d
13:32:52.00,10.82,10.82,10.82,10.82
13:32:57.00,8.49,8.49,13.42,13.42
13:33:03.00,6.71,10.82,12.37,15
13:33:08.00,9.49,12.73,9.49,12.73
13:33:14.00,12.37,15,6.71,10.82
13:33:20.00,13.42,13.42,8.49,8.49
13:33:26.00,15,12.37,10.82,6.71
13:33:32.00,12.73,9.49,12.73,9.49
13:33:39.00,10.82,6.71,15,12.37
13:33:45.00,8.49,8.49,13.42,13.42
13:33:52.00,6.71,10.82,12.37,15
13:33:57.00,9.49,12.73,9.49,12.73
13:34:00.00,12.37,15,6.71,10.82
13:34:03.00,13.42,13.42,8.49,8.49
13:34:06.00,10.82,10.82,10.82,10.82
