[16:36:23.182] 1350063,23.11,21.66,22.91,24.13,-0.51,10.04,5.33
[16:36:23.283] 1350164,23.10,21.65,22.91,24.13,-0.51,10.12,5.22
[16:36:23.386] 1350266,23.10,21.65,22.96,24.10,-0.39,10.04,4.94
[16:36:23.488] 1350368,23.10,21.69,22.94,24.14,-0.67,10.04,5.26
[16:36:23.590] 1350470,23.10,21.69,22.94,24.14,-0.47,10.00,5.18
[16:36:23.692] 1350573,23.10,21.69,22.94,24.14,-0.43,9.92,5.10
[16:36:23.795] 1350675,23.13,21.67,22.89,24.14,-0.12,9.96,5.92
[16:36:23.897] 1350777,23.13,21.67,22.89,24.15,0.31,11.02,5.14
[16:36:23.999] 1350879,23.16,21.67,22.93,24.09,0.00,10.08,4.35
[16:36:24.102] 1350982,23.18,21.67,22.93,24.09,-0.31,10.04,5.69
[16:36:24.204] 1351084,23.18,21.71,23.06,24.02,-0.86,10.32,3.96
[16:36:24.306] 1351187,8.85,21.82,22.95,24.11,-1.18,9.26,4.51
[16:36:24.409] 1351289,8.85,21.82,22.95,24.11,-0.16,10.00,4.20
[16:36:24.511] 1351391,20.19,21.72,23.02,24.04,-0.71,10.12,5.06
[16:36:24.611] 1351492,-5.54,21.73,23.02,24.04,-1.18,10.43,4.63
[16:36:24.713] 1351594,-5.54,21.73,22.84,23.93,-1.06,11.18,5.02
[16:36:24.816] 1351696,-5.49,21.76,22.94,24.06,-1.29,10.00,5.45
[16:36:24.919] 1351798,-5.49,21.76,22.94,24.06,-3.14,8.20,5.14
[16:36:25.020] 1351900,23.35,21.84,22.84,23.99,-2.31,10.79,1.92
[16:36:25.122] 1352002,23.35,21.84,22.84,23.99,-2.79,10.55,5.53
[16:36:25.224] 1352104,23.35,21.84,22.84,23.99,-1.88,9.18,2.08
[16:36:25.326] 1352206,23.36,21.89,22.76,23.90,-2.47,11.02,4.00
[16:36:25.429] 1352309,23.37,21.81,22.76,23.90,-1.96,10.94,4.16
[16:36:25.531] 1352410,23.37,21.81,22.69,23.94,-2.75,10.08,3.77
[16:36:25.633] 1352513,23.41,21.83,22.55,24.05,-2.79,10.28,1.57
[16:36:25.736] 1352615,23.41,21.83,22.55,24.05,-1.77,10.87,7.34
[16:36:25.837] 1352717,23.45,21.71,22.54,24.12,-0.51,9.57,3.22
[16:36:25.940] 1352820,23.54,21.67,22.61,24.12,-1.96,8.51,4.16
[16:36:26.042] 1352922,23.54,21.67,22.61,24.13,-2.24,9.26,3.73
[16:36:26.145] 1353024,23.68,21.59,22.44,24.05,-2.43,10.04,3.41
[16:36:26.247] 1353127,23.73,21.59,22.44,24.05,-3.53,11.81,5.33
[16:36:26.349] 1353229,23.73,21.48,22.44,24.13,-2.16,10.67,1.37
[16:36:26.451] 1353331,23.88,21.45,22.24,24.18,-2.98,10.24,2.82
[16:36:26.553] 1353434,23.88,21.45,22.24,24.18,-2.35,9.10,3.33
[16:36:26.656] 1353536,24.01,21.42,22.22,24.28,-1.41,8.04,2.79
[16:36:26.757] 1353637,24.14,21.30,22.22,24.28,-2.55,10.36,2.63
[16:36:26.858] 1353739,24.14,21.30,22.14,24.35,-3.10,12.04,3.37
[16:36:26.961] 1353841,24.26,21.22,22.05,24.40,-0.94,11.10,7.26
[16:36:27.063] 1353943,24.26,21.22,22.05,24.40,-2.16,10.24,0.82
[16:36:27.165] 1354045,24.26,21.22,22.05,24.40,-1.41,7.18,6.24
[16:36:27.267] 1354148,24.53,21.11,21.78,24.40,-1.61,9.14,1.84
[16:36:27.371] 1354251,24.53,21.11,21.78,24.50,-2.98,12.91,3.45
[16:36:27.474] 1354354,24.62,21.01,21.72,24.59,-1.06,9.34,5.84
[16:36:27.576] 1354457,24.78,21.01,21.72,24.59,-2.35,11.38,8.43
[16:36:27.678] 1354558,24.78,21.01,21.52,24.73,-0.16,10.59,3.30
[16:36:27.780] 1354660,24.84,21.01,21.49,24.80,-0.24,8.59,2.98
[16:36:27.882] 1354762,24.84,21.01,21.49,24.80,-1.57,10.59,0.24
[16:36:27.984] 1354864,24.98,-165.55,21.46,24.87,-1.77,12.40,1.02
[16:36:28.087] 1354967,25.12,20.77,21.39,24.87,-0.20,7.81,8.24
[16:36:28.190] 1355070,25.12,20.77,21.39,25.00,-1.53,8.87,3.92
[16:36:28.292] 1355172,25.12,20.77,21.32,25.09,-1.57,8.59,5.88
[16:36:28.394] 1355275,25.30,20.77,21.32,25.09,-2.47,10.00,3.96
[16:36:28.497] 1355377,25.30,20.71,21.21,25.13,-2.31,10.63,6.51
[16:36:28.599] 1355479,25.46,20.66,21.11,25.19,-1.96,9.45,6.59
[16:36:28.702] 1355582,25.46,20.66,21.11,25.19,-1.69,10.79,2.35
[16:36:28.803] 1355684,25.55,20.58,21.08,25.30,-0.78,7.92,3.84
[16:36:28.904] 1355785,25.64,20.55,21.08,25.30,-1.22,9.14,0.63
[16:36:29.007] 1355886,25.64,20.55,21.05,25.28,-2.90,11.34,3.84
[16:36:29.109] 1355989,25.74,20.47,21.02,25.45,-0.82,11.10,10.94
[16:36:29.212] 1356091,25.74,20.47,21.02,25.45,-2.04,10.67,2.28
[16:36:29.314] 1356193,25.90,20.49,20.97,25.56,-1.96,7.65,5.22
[16:36:29.416] 1356296,25.95,20.44,20.94,25.56,-1.22,9.38,3.14
[16:36:29.519] 1356399,25.95,20.44,20.94,25.65,-2.51,9.73,5.30
[16:36:29.620] 1356500,26.06,20.32,20.88,25.74,-2.90,11.30,11.81
[16:36:29.723] 1356603,26.10,20.32,20.88,25.74,-2.35,10.40,3.26
[16:36:29.824] 1356705,26.10,20.21,20.93,25.88,-2.47,6.24,3.80
[16:36:29.927] 1356807,26.25,183.94,21.07,26.02,-1.29,10.24,1.88
[16:36:30.030] 1356910,26.25,183.94,21.07,26.02,-2.47,11.49,0.31
[16:36:30.131] 1357011,25.99,20.21,20.98,25.97,-1.49,14.83,3.37
[16:36:30.234] 1357114,26.04,19.95,20.98,25.97,-0.94,9.30,-0.67
[16:36:30.336] 1357216,26.04,19.95,21.13,26.10,-1.69,9.02,3.92
[16:36:30.438] 1357318,26.09,19.83,21.19,26.27,-0.59,9.53,3.73
[16:36:30.541] 1357420,26.09,19.83,21.19,26.27,-1.77,11.38,2.39
[16:36:30.643] 1357523,26.09,19.83,21.19,26.27,-2.16,11.26,3.53
[16:36:30.746] 1357625,25.89,19.62,21.46,26.27,-2.47,9.53,9.57
[16:36:30.848] 1357728,25.89,19.62,21.46,26.55,-2.28,9.06,2.04
[16:36:30.950] 1357830,25.86,19.43,21.69,26.74,-3.02,6.59,4.28
[16:36:31.053] 1357933,25.70,19.29,21.69,26.74,-1.84,11.26,3.02
[16:36:31.155] 1358034,25.70,19.29,21.82,26.87,-3.14,11.49,2.43
[16:36:31.257] 1358137,25.52,19.10,22.01,27.04,-1.10,11.26,8.08
[16:36:31.360] 1358239,25.52,19.10,22.01,27.04,-2.24,7.92,-0.27
[16:36:31.462] 1358341,25.35,18.96,22.23,27.15,-1.26,9.81,5.41
[16:36:31.563] 1358444,25.18,18.76,22.44,27.15,-1.53,8.32,3.06
[16:36:31.666] 1358546,25.18,18.76,22.44,27.33,-3.96,12.98,4.24
[16:36:31.768] 1358648,25.00,18.51,22.54,27.48,-1.49,11.14,5.69
[16:36:31.870] 1358750,25.00,18.51,22.54,27.48,-2.55,9.06,1.26
[16:36:31.973] 1358853,25.00,18.51,22.54,27.48,-0.98,7.53,4.28
[16:36:32.076] 1358956,24.66,18.13,22.97,27.84,-1.22,10.47,2.31
[16:36:32.178] 1359058,24.66,18.13,22.97,27.84,-2.71,11.38,0.59
[16:36:32.280] 1359160,24.48,17.97,23.24,27.99,-0.90,14.32,5.14
[16:36:32.382] 1359263,24.28,17.66,23.24,27.99,-0.63,8.75,2.79
[16:36:32.485] 1359365,24.28,17.66,23.44,28.23,-1.53,8.83,5.22
[16:36:32.587] 1359467,24.11,17.45,23.63,28.41,-1.69,8.94,4.63
[16:36:32.690] 1359570,24.11,17.45,23.63,28.41,-3.18,12.43,2.75
[16:36:32.792] 1359672,23.90,17.20,23.87,28.62,-1.80,12.28,7.10
[16:36:32.894] 1359774,23.84,17.03,24.05,28.62,-2.63,8.98,4.24
[16:36:32.997] 1359877,23.84,17.03,24.05,28.82,-1.45,6.98,4.63
[16:36:33.098] 1359979,23.62,16.84,24.27,28.92,-1.18,10.43,3.26
[16:36:33.201] 1360081,23.44,16.84,24.27,28.92,-2.59,11.18,1.61
[16:36:33.303] 1360183,23.44,16.70,24.51,29.10,-1.33,14.79,2.51
[16:36:33.405] 1360286,23.31,16.58,24.69,29.23,-1.53,8.87,0.98
[16:36:33.508] 1360388,23.31,16.58,24.69,29.23,-2.04,9.92,5.10
[16:36:33.610] 1360490,23.16,16.41,24.92,29.44,-1.45,7.73,4.71
