timestamp,distance,rtt,rssi
10:35:57.257,23.55,157.0,-55.0
10:35:58.075,24.0,160.0,-55.0
10:35:58.373,24.45,163.0,-55.0
10:35:58.697,24.75,165.0,-55.0
10:35:59.499,23.85,159.0,-59.0
10:35:59.805,23.55,157.0,-59.0
10:36:00.113,24.6,164.0,-59.0
10:36:00.420,25.05,167.0,-60.0
10:36:00.729,24.15,161.0,-60.0
10:36:01.048,24.6,164.0,-60.0
10:36:01.653,26.55,177.0,-60.0
10:36:01.653,26.25,175.0,-59.0
10:36:01.970,25.65,171.0,-59.0
10:36:02.259,26.1,174.0,-59.0
10:36:02.571,25.95,173.0,-57.0
10:36:03.199,24.9,166.0,-57.0
10:36:03.199,24.9,166.0,-57.0
10:36:03.496,24.45,163.0,-57.0
10:36:03.804,24.6,164.0,-57.0
10:36:04.122,25.2,168.0,-57.0
10:36:04.944,22.95,153.0,-56.0
10:36:05.793,24.6,164.0,-56.0
10:36:06.063,25.05,167.0,-58.0
10:36:06.875,25.35,169.0,-58.0
10:36:07.489,26.1,174.0,-56.0
10:36:07.489,26.1,174.0,-56.0
10:36:07.797,25.95,173.0,-56.0
10:36:08.116,25.5,170.0,-56.0
10:36:08.417,24.9,166.0,-56.0
10:36:09.238,22.65,151.0,-56.0
10:36:10.047,22.05,147.0,-57.0
10:36:10.355,21.9,146.0,-57.0
10:36:10.661,22.8,152.0,-54.0
10:36:11.289,24.0,160.0,-54.0
10:36:11.289,22.35,149.0,-54.0
10:36:11.586,22.5,150.0,-57.0
10:36:11.906,22.65,151.0,-57.0
10:36:13.031,23.85,159.0,-59.0
10:36:13.031,24.15,161.0,-59.0
10:36:13.326,23.7,158.0,-59.0
10:36:13.640,23.4,156.0,-59.0
10:36:13.941,24.15,161.0,-58.0
10:36:14.257,24.3,162.0,-58.0
10:36:14.555,25.05,167.0,-58.0
10:36:14.879,23.7,158.0,-58.0
10:36:15.161,22.95,153.0,-54.0
10:36:15.484,22.65,151.0,-54.0
10:36:16.601,24.0,160.0,-61.0
10:36:16.601,23.4,156.0,-61.0
10:36:16.908,23.55,157.0,-61.0
10:36:17.216,25.2,168.0,-60.0
10:36:17.517,23.25,155.0,-60.0
10:36:17.828,23.7,158.0,-60.0
10:36:18.137,23.1,154.0,-60.0
10:36:18.458,22.8,152.0,-54.0
10:36:18.751,22.95,153.0,-54.0
10:36:19.056,22.65,151.0,-54.0
10:36:19.373,26.4,176.0,-54.0
10:36:19.675,24.3,162.0,-62.0
10:36:19.995,22.35,149.0,-62.0
10:36:20.288,21.75,145.0,-62.0
10:36:20.613,22.05,147.0,-56.0
10:36:20.914,22.35,149.0,-56.0
10:36:21.207,22.8,152.0,-56.0
10:36:21.836,22.95,153.0,-56.0
10:36:21.837,22.95,153.0,-56.0
10:36:22.142,23.7,158.0,-56.0
10:36:22.949,23.4,156.0,-57.0
10:36:23.268,23.25,155.0,-57.0
10:36:23.563,22.65,151.0,-57.0
10:36:23.872,22.5,150.0,-57.0
10:36:24.177,24.0,160.0,-58.0
10:36:24.484,24.6,164.0,-58.0
10:36:24.802,23.7,158.0,-58.0
10:36:25.109,23.4,156.0,-58.0
10:36:25.927,24.3,162.0,-60.0
10:36:26.747,27.0,180.0,-65.0
10:36:27.057,28.95,193.0,-65.0
10:36:27.361,27.15,181.0,-65.0
10:36:27.661,25.65,171.0,-64.0
10:36:27.980,25.35,169.0,-64.0
10:36:28.802,25.2,168.0,-61.0
10:36:29.097,25.8,172.0,-61.0
10:36:29.404,26.55,177.0,-61.0
10:36:29.709,26.85,179.0,-62.0
10:36:30.033,26.25,175.0,-62.0
10:36:30.834,25.95,173.0,-62.0
10:36:31.136,25.35,169.0,-62.0
10:36:31.448,25.2,168.0,-62.0
10:36:31.755,25.2,168.0,-62.0
10:36:32.064,24.9,166.0,-60.0
10:36:32.372,24.9,166.0,-60.0
10:36:32.691,24.9,166.0,-60.0
10:36:32.996,25.35,169.0,-60.0
10:36:33.290,26.7,178.0,-62.0
10:36:33.592,26.55,177.0,-62.0
10:36:33.905,25.05,167.0,-62.0
10:36:34.213,24.3,162.0,-59.0
10:36:34.518,27.0,180.0,-59.0
10:36:34.830,27.45,183.0,-59.0
10:36:35.139,25.95,173.0,-59.0
10:36:35.442,26.7,178.0,-62.0
10:36:35.757,27.9,186.0,-62.0
10:36:36.624,24.45,163.0,-57.0
10:36:37.403,25.8,172.0,-57.0
10:36:38.229,24.9,166.0,-58.0
10:36:39.165,24.9,166.0,-59.0
10:36:39.788,25.5,170.0,-59.0
10:36:39.788,26.1,174.0,-59.0
10:36:40.576,24.9,166.0,-62.0
10:36:40.870,25.5,170.0,-62.0
10:36:41.177,26.4,176.0,-62.0
10:36:41.484,26.85,179.0,-62.0
10:36:41.790,27.3,182.0,-62.0
10:36:42.100,27.6,184.0,-63.0
10:36:42.400,27.75,185.0,-63.0
10:36:42.712,27.6,184.0,-63.0
10:36:43.020,27.3,182.0,-63.0
10:36:43.635,26.7,178.0,-61.0
10:36:43.635,25.8,172.0,-61.0
10:36:43.955,26.4,176.0,-61.0
10:36:44.250,29.4,196.0,-61.0
10:36:44.572,31.35,209.0,-66.0
10:36:45.376,29.4,196.0,-66.0
10:36:45.685,30.9,206.0,-66.0
10:36:46.001,30.45,203.0,-66.0
10:36:46.298,30.45,203.0,-66.0
10:36:46.618,29.1,194.0,-65.0
10:36:47.218,28.95,193.0,-65.0
10:36:47.218,27.45,183.0,-65.0
10:36:47.537,26.85,179.0,-65.0
10:36:47.833,26.7,178.0,-62.0
10:36:48.152,29.1,194.0,-62.0
10:36:48.446,30.0,200.0,-62.0
10:36:48.762,28.8,192.0,-62.0
10:36:49.572,29.4,196.0,-63.0
10:36:49.889,29.25,195.0,-63.0
10:36:50.701,29.85,199.0,-64.0
10:36:51.019,29.7,198.0,-64.0
10:36:51.316,29.4,196.0,-62.0
10:36:51.638,29.7,198.0,-62.0
10:36:52.443,27.75,185.0,-63.0
10:36:52.751,28.2,188.0,-63.0
10:36:53.056,29.7,198.0,-63.0
10:36:53.361,31.2,208.0,-64.0
10:36:53.670,30.3,202.0,-64.0
10:36:53.976,29.85,199.0,-64.0
10:36:54.282,29.85,199.0,-64.0
10:36:54.590,28.8,192.0,-64.0
10:36:54.897,28.35,189.0,-64.0
10:36:55.203,26.4,176.0,-64.0
10:36:55.512,25.95,173.0,-64.0
10:36:55.828,27.15,181.0,-59.0
10:36:56.649,24.6,164.0,-59.0
10:36:57.472,24.0,160.0,-61.0
10:36:57.766,23.55,157.0,-61.0
10:36:58.084,26.55,177.0,-61.0
10:36:58.378,30.9,206.0,-61.0
10:36:58.687,29.4,196.0,-61.0
10:36:58.994,27.9,186.0,-58.0
10:36:59.302,28.05,187.0,-58.0
10:36:59.615,31.2,208.0,-58.0
10:36:59.916,30.6,204.0,-58.0
10:37:00.224,29.25,195.0,-59.0
10:37:00.537,27.9,186.0,-59.0
10:37:01.658,28.5,190.0,-59.0
10:37:01.658,28.2,188.0,-59.0
10:37:01.976,28.95,193.0,-59.0
10:37:02.271,29.55,197.0,-59.0
10:37:02.578,29.85,199.0,-62.0
10:37:02.893,29.25,195.0,-62.0
10:37:03.706,29.25,195.0,-62.0
10:37:04.014,29.85,199.0,-62.0
10:37:04.323,30.6,204.0,-62.0
10:37:04.639,30.15,201.0,-62.0
10:37:04.935,30.15,201.0,-62.0
10:37:05.253,29.4,196.0,-62.0
10:37:05.559,28.65,191.0,-62.0
10:37:06.367,26.7,178.0,-58.0
10:37:06.675,26.55,177.0,-58.0
10:37:06.982,26.7,178.0,-60.0
10:37:07.597,26.4,176.0,-60.0
10:37:07.597,26.55,177.0,-60.0
10:37:07.916,27.0,180.0,-60.0
10:37:08.223,25.5,170.0,-60.0
10:37:08.517,24.75,165.0,-60.0
10:37:08.832,30.15,201.0,-60.0
10:37:09.652,25.95,173.0,-65.0
10:37:10.466,25.2,168.0,-67.0
10:37:10.772,27.75,185.0,-67.0
10:37:11.085,28.95,193.0,-67.0
10:37:11.385,31.2,208.0,-67.0
10:37:11.691,27.6,184.0,-65.0
10:37:12.000,27.75,185.0,-65.0
10:37:12.306,28.35,189.0,-65.0
10:37:12.627,28.5,190.0,-65.0
10:37:12.929,30.15,201.0,-65.0
10:37:13.227,28.8,192.0,-65.0
10:37:13.545,27.15,181.0,-65.0
10:37:13.841,26.55,177.0,-66.0
10:37:14.150,24.9,166.0,-66.0
10:37:14.465,24.15,161.0,-66.0
10:37:15.276,24.6,164.0,-64.0
10:37:15.582,24.6,164.0,-64.0
10:37:15.899,24.45,163.0,-64.0
10:37:16.718,24.9,166.0,-64.0
10:37:18.356,25.05,167.0,-65.0
10:37:18.356,26.55,177.0,-65.0
10:37:18.653,26.55,177.0,-65.0
10:37:18.969,26.1,174.0,-65.0
10:37:19.781,29.1,194.0,-68.0
10:37:20.096,31.35,209.0,-68.0
10:37:20.906,25.35,169.0,-65.0
10:37:21.214,25.65,171.0,-65.0
10:37:22.344,26.1,174.0,-65.0
10:37:22.345,24.6,164.0,-61.0
10:37:22.651,24.3,162.0,-61.0
10:37:22.957,24.15,161.0,-55.0
10:37:23.269,24.3,162.0,-55.0
10:37:23.581,24.6,164.0,-55.0
10:37:24.389,24.6,164.0,-55.0
10:37:24.703,24.9,166.0,-55.0
10:37:25.004,25.05,167.0,-55.0
10:37:25.318,25.05,167.0,-56.0
10:37:26.129,24.75,165.0,-56.0
10:37:26.441,24.15,161.0,-56.0
